marker-color,marker-size,marker-symbol,Meet,lon,lat
#7e7e7e,medium,,Ogden,-94.02636051177979,42.12582431810857
#7e7e7e,medium,,Panorama,-94.41116094589233,41.70864403272158
#7e7e7e,medium,,Gowrie,-94.28432464599608,42.270703812641464
