type,	time,	latitude,	longitude,	altitude (ft),	speed (mph),	pace (min/mi),	course,	distance (mi),	distance_interval (ft),	name,	desc,
T	2018-11-22 14:41:15	40.745893000	-96.700600000	1243.1	9.8	6.15	194.5	1.334	14.31		
T	2018-11-22 14:41:16	40.745856000	-96.700611000	1242.9	9.4	6.37	192.7	1.336	13.82		
T	2018-11-22 14:41:17	40.745820000	-96.700619000	1242.6	9.1	6.62	189.6	1.339	13.30		
T	2018-11-22 14:41:18	40.745784000	-96.700624000	1242.5	9.0	6.67	186.0	1.341	13.19		
T	2018-11-22 14:41:19	40.745748000	-96.700626000	1242.4	9.0	6.70	182.4	1.344	13.13		
T	2018-11-22 14:41:20	40.745712000	-96.700623000	1242.3	9.0	6.70	176.4	1.346	13.14		
T	2018-11-22 14:41:21	40.745676000	-96.700617000	1242.3	9.0	6.66	172.8	1.349	13.22		
T	2018-11-22 14:41:22	40.745640000	-96.700608000	1242.3	9.1	6.59	169.3	1.351	13.35		
T	2018-11-22 14:41:23	40.745605000	-96.700597000	1242.4	8.9	6.71	166.6	1.354	13.11		
T	2018-11-22 14:41:24	40.745570000	-96.700586000	1242.5	8.9	6.71	166.6	1.356	13.11		
T	2018-11-22 14:41:25	40.745537000	-96.700575000	1242.6	8.5	7.09	165.8	1.358	12.40		
T	2018-11-22 14:41:26	40.745504000	-96.700564000	1242.7	8.5	7.09	165.8	1.361	12.40		
T	2018-11-22 14:41:27	40.745472000	-96.700554000	1242.8	8.2	7.34	166.7	1.363	11.98		
T	2018-11-22 14:41:28	40.745439000	-96.700545000	1242.9	8.4	7.17	168.3	1.365	12.28		
T	2018-11-22 14:41:29	40.745405000	-96.700538000	1243.0	8.5	7.02	171.1	1.368	12.54		
T	2018-11-22 14:41:30	40.745369000	-96.700532000	1243.2	9.0	6.66	172.8	1.370	13.22		
T	2018-11-22 14:41:31	40.745333000	-96.700527000	1243.4	9.0	6.67	174.0	1.373	13.19		
T	2018-11-22 14:41:32	40.745295000	-96.700522000	1243.6	9.5	6.32	174.3	1.375	13.91		
T	2018-11-22 14:41:33	40.745257000	-96.700515000	1243.8	9.5	6.29	172.1	1.378	13.98		
T	2018-11-22 14:41:34	40.745219000	-96.700506000	1244.1	9.6	6.26	169.8	1.381	14.07		
T	2018-11-22 14:41:35	40.745181000	-96.700495000	1244.3	9.7	6.21	167.6	1.383	14.18		
T	2018-11-22 14:41:36	40.745143000	-96.700482000	1244.5	9.8	6.15	165.5	1.386	14.31		
T	2018-11-22 14:41:37	40.745106000	-96.700467000	1244.8	9.6	6.24	162.9	1.389	14.11		
T	2018-11-22 14:41:38	40.745070000	-96.700451000	1245.0	9.4	6.36	161.4	1.391	13.85		
T	2018-11-22 14:41:39	40.745037000	-96.700434000	1245.2	8.8	6.81	158.7	1.394	12.91		
T	2018-11-22 14:41:40	40.745004000	-96.700415000	1245.4	8.9	6.70	156.4	1.396	13.13		
T	2018-11-22 14:41:41	40.744973000	-96.700396000	1245.7	8.5	7.06	155.1	1.399	12.46		
T	2018-11-22 14:41:42	40.744942000	-96.700377000	1245.9	8.5	7.06	155.1	1.401	12.46		
T	2018-11-22 14:41:43	40.744912000	-96.700359000	1246.1	8.2	7.32	155.6	1.403	12.01		
T	2018-11-22 14:41:44	40.744882000	-96.700340000	1246.4	8.3	7.25	154.4	1.406	12.13		
T	2018-11-22 14:41:45	40.744852000	-96.700322000	1246.6	8.2	7.32	155.6	1.408	12.01		
T	2018-11-22 14:41:46	40.744823000	-96.700305000	1246.8	7.9	7.61	156.1	1.410	11.57		
T	2018-11-22 14:41:47	40.744793000	-96.700288000	1247.0	8.1	7.39	156.8	1.412	11.90		
T	2018-11-22 14:41:48	40.744763000	-96.700272000	1247.2	8.0	7.46	158.0	1.415	11.79		
T	2018-11-22 14:41:49	40.744733000	-96.700256000	1247.3	8.0	7.46	158.0	1.417	11.79		
T	2018-11-22 14:41:50	40.744702000	-96.700240000	1247.5	8.3	7.25	158.6	1.419	12.13		
T	2018-11-22 14:41:51	40.744672000	-96.700225000	1247.6	8.0	7.53	159.3	1.421	11.69		
T	2018-11-22 14:41:52	40.744641000	-96.700210000	1247.8	8.2	7.31	159.9	1.424	12.03		
T	2018-11-22 14:41:53	40.744611000	-96.700196000	1247.9	7.9	7.59	160.5	1.426	11.60		
T	2018-11-22 14:41:54	40.744579000	-96.700182000	1248.0	8.4	7.16	161.7	1.428	12.29		
T	2018-11-22 14:41:55	40.744548000	-96.700168000	1247.8	8.1	7.37	161.1	1.430	11.94		
T	2018-11-22 14:41:56	40.744516000	-96.700154000	1247.5	8.4	7.16	161.7	1.433	12.29		
T	2018-11-22 14:41:57	40.744484000	-96.700140000	1247.3	8.4	7.16	161.7	1.435	12.29		
T	2018-11-22 14:41:58	40.744452000	-96.700125000	1247.1	8.4	7.11	160.4	1.437	12.38		
T	2018-11-22 14:41:59	40.744420000	-96.700110000	1246.9	8.4	7.11	160.4	1.440	12.38		
T	2018-11-22 14:42:00	40.744388000	-96.700094000	1246.7	8.5	7.06	159.3	1.442	12.47		
T	2018-11-22 14:42:01	40.744357000	-96.700077000	1246.5	8.3	7.19	157.4	1.444	12.24		
T	2018-11-22 14:42:02	40.744325000	-96.700059000	1246.3	8.6	6.94	156.9	1.447	12.68		
T	2018-11-22 14:42:03	40.744294000	-96.700039000	1246.1	8.6	6.99	154.0	1.449	12.58		
T	2018-11-22 14:42:04	40.744262000	-96.700018000	1245.7	8.9	6.75	153.6	1.452	13.03		
T	2018-11-22 14:42:05	40.744231000	-96.699996000	1245.3	8.8	6.86	151.7	1.454	12.83		
T	2018-11-22 14:42:06	40.744200000	-96.699972000	1245.0	8.9	6.71	149.6	1.457	13.11		
T	2018-11-22 14:42:07	40.744169000	-96.699947000	1244.6	9.0	6.64	148.6	1.459	13.25		
T	2018-11-22 14:42:08	40.744137000	-96.699922000	1244.1	9.2	6.49	149.4	1.462	13.56		
T	2018-11-22 14:42:09	40.744104000	-96.699895000	1243.5	9.7	6.21	148.2	1.464	14.16		
T	2018-11-22 14:42:10	40.744070000	-96.699869000	1243.0	9.8	6.14	149.9	1.467	14.33		
T	2018-11-22 14:42:11	40.744035000	-96.699842000	1242.3	10.1	5.95	149.7	1.470	14.78		
T	2018-11-22 14:42:12	40.743999000	-96.699815000	1242.0	10.3	5.83	150.4	1.473	15.10		
T	2018-11-22 14:42:13	40.743961000	-96.699789000	1241.8	10.6	5.64	152.6	1.476	15.61		
T	2018-11-22 14:42:14	40.743923000	-96.699766000	1241.5	10.4	5.77	155.4	1.479	15.24		
T	2018-11-22 14:42:15	40.743886000	-96.699752000	1241.2	9.6	6.27	164.0	1.481	14.03		
T	2018-11-22 14:42:16	40.743851000	-96.699749000	1240.9	8.7	6.89	176.3	1.484	12.78		
T	2018-11-22 14:42:17	40.743819000	-96.699762000	1240.6	8.3	7.21	197.1	1.486	12.20		
T	2018-11-22 14:42:18	40.743792000	-96.699793000	1240.4	8.9	6.74	221.0	1.488	13.06		
T	2018-11-22 14:42:19	40.743769000	-96.699835000	1240.3	9.8	6.14	234.1	1.491	14.34		
T	2018-11-22 14:42:20	40.743750000	-96.699883000	1240.2	10.2	5.87	242.4	1.494	14.99		
T	2018-11-22 14:42:21	40.743733000	-96.699929000	1240.2	9.7	6.21	244.0	1.497	14.17		
T	2018-11-22 14:42:22	40.743719000	-96.699973000	1240.2	9.0	6.66	247.2	1.499	13.22		
T	2018-11-22 14:42:23	40.743704000	-96.700018000	1240.2	9.3	6.46	246.3	1.502	13.61		
T	2018-11-22 14:42:24	40.743690000	-96.700062000	1240.2	9.0	6.66	247.2	1.504	13.22		
T	2018-11-22 14:42:25	40.743674000	-96.700105000	1240.2	9.0	6.63	243.8	1.507	13.26		
T	2018-11-22 14:42:26	40.743657000	-96.700146000	1240.2	8.8	6.80	241.3	1.509	12.94		
T	2018-11-22 14:42:27	40.743637000	-96.700185000	1240.1	8.9	6.75	235.9	1.512	13.03		
T	2018-11-22 14:42:28	40.743614000	-96.700220000	1240.2	8.7	6.87	229.1	1.514	12.82		
T	2018-11-22 14:42:29	40.743588000	-96.700252000	1240.2	8.8	6.78	223.0	1.517	12.98		
T	2018-11-22 14:42:30	40.743561000	-96.700282000	1240.2	8.8	6.83	220.1	1.519	12.88		
T	2018-11-22 14:42:31	40.743533000	-96.700308000	1240.3	8.5	7.05	215.1	1.521	12.49		
T	2018-11-22 14:42:32	40.743504000	-96.700332000	1240.3	8.5	7.05	212.1	1.524	12.48		
T	2018-11-22 14:42:33	40.743476000	-96.700352000	1240.4	7.9	7.58	208.4	1.526	11.61		
T	2018-11-22 14:42:34	40.743446000	-96.700369000	1240.4	8.1	7.39	203.2	1.528	11.90		
T	2018-11-22 14:42:35	40.743416000	-96.700383000	1240.5	7.9	7.59	199.5	1.530	11.60		
T	2018-11-22 14:42:36	40.743385000	-96.700392000	1240.5	7.9	7.61	192.4	1.533	11.57		
T	2018-11-22 14:42:37	40.743353000	-96.700397000	1240.5	8.0	7.50	186.8	1.535	11.74		
T	2018-11-22 14:42:38	40.743319000	-96.700399000	1240.5	8.5	7.10	182.6	1.537	12.40		
T	2018-11-22 14:42:39	40.743285000	-96.700398000	1240.5	8.4	7.10	178.7	1.540	12.39		
T	2018-11-22 14:42:40	40.743250000	-96.700397000	1240.5	8.7	6.90	178.8	1.542	12.75		
T	2018-11-22 14:42:41	40.743214000	-96.700395000	1240.5	9.0	6.70	177.6	1.544	13.13		
T	2018-11-22 14:42:42	40.743178000	-96.700395000	1240.6	8.9	6.71	180.0	1.547	13.12		
T	2018-11-22 14:42:43	40.743118000	-96.700400000	1240.7	14.9	4.02	183.6	1.551	21.90		
T	2018-11-22 14:42:44	40.743094000	-96.700403000	1240.8	6.0	10.02	185.4	1.553	8.78		
T	2018-11-22 14:42:45	40.743070000	-96.700407000	1240.8	6.0	9.98	187.2	1.554	8.81		
T	2018-11-22 14:42:46	40.743035000	-96.700417000	1240.9	8.9	6.74	192.2	1.557	13.05		
T	2018-11-22 14:42:47	40.742999000	-96.700431000	1241.0	9.3	6.43	196.4	1.559	13.68		
T	2018-11-22 14:42:48	40.742964000	-96.700447000	1241.2	9.2	6.52	199.1	1.562	13.50		
T	2018-11-22 14:42:49	40.742928000	-96.700463000	1241.4	9.4	6.36	198.6	1.565	13.85		
T	2018-11-22 14:42:50	40.742891000	-96.700476000	1241.7	9.5	6.31	194.9	1.567	13.95		
T	2018-11-22 14:42:51	40.742853000	-96.700486000	1242.2	9.6	6.23	191.3	1.570	14.12		
T	2018-11-22 14:42:52	40.742814000	-96.700493000	1242.6	9.8	6.14	187.7	1.573	14.34		
T	2018-11-22 14:42:53	40.742774000	-96.700498000	1243.0	10.0	6.01	185.4	1.575	14.64		
T	2018-11-22 14:42:54	40.742734000	-96.700502000	1243.4	10.0	6.02	184.3	1.578	14.62		
T	2018-11-22 14:42:55	40.742695000	-96.700506000	1243.8	9.7	6.17	184.4	1.581	14.25		
T	2018-11-22 14:42:56	40.742656000	-96.700512000	1244.2	9.8	6.15	186.6	1.584	14.31		
T	2018-11-22 14:42:57	40.742618000	-96.700519000	1244.5	9.5	6.29	187.9	1.586	13.98		
T	2018-11-22 14:42:58	40.742583000	-96.700529000	1244.7	8.9	6.74	192.2	1.589	13.05		
T	2018-11-22 14:42:59	40.742549000	-96.700544000	1245.0	8.9	6.73	198.5	1.591	13.07		
T	2018-11-22 14:43:00	40.742518000	-96.700564000	1245.2	8.6	6.99	206.1	1.594	12.58		
T	2018-11-22 14:43:01	40.742490000	-96.700591000	1245.3	8.6	6.96	216.2	1.596	12.65		
T	2018-11-22 14:43:02	40.742468000	-96.700625000	1245.4	8.4	7.11	229.5	1.598	12.37		
T	2018-11-22 14:43:03	40.742455000	-96.700667000	1245.4	8.6	7.00	247.8	1.601	12.57		
T	2018-11-22 14:43:04	40.742453000	-96.700717000	1245.3	9.5	6.34	267.0	1.603	13.87		
T	2018-11-22 14:43:05	40.742459000	-96.700766000	1245.2	9.4	6.40	279.2	1.606	13.75		
T	2018-11-22 14:43:06	40.742474000	-96.700808000	1245.0	8.8	6.84	295.2	1.608	12.86		
T	2018-11-22 14:43:07	40.742494000	-96.700844000	1244.9	8.4	7.12	306.3	1.611	12.35		
T	2018-11-22 14:43:08	40.742518000	-96.700880000	1244.8	9.0	6.63	311.3	1.613	13.27		
T	2018-11-22 14:43:09	40.742545000	-96.700916000	1244.6	9.6	6.28	314.7	1.616	14.01		
T	2018-11-22 14:43:10	40.742575000	-96.700948000	1244.5	9.6	6.25	321.1	1.619	14.07		
T	2018-11-22 14:43:11	40.742605000	-96.700969000	1244.4	8.4	7.11	332.1	1.621	12.38		
T	2018-11-22 14:43:12	40.742637000	-96.700978000	1244.4	8.1	7.38	348.0	1.623	11.92		
T	2018-11-22 14:43:13	40.742669000	-96.700978000	1244.3	7.9	7.55	0.0	1.625	11.66		
T	2018-11-22 14:43:14	40.742701000	-96.700968000	1244.2	8.2	7.34	13.3	1.628	11.98		
T	2018-11-22 14:43:15	40.742732000	-96.700950000	1244.1	8.4	7.13	23.7	1.630	12.35		
T	2018-11-22 14:43:16	40.742763000	-96.700924000	1244.0	9.1	6.57	32.4	1.633	13.40		
T	2018-11-22 14:43:17	40.742793000	-96.700893000	1243.9	9.5	6.33	38.1	1.635	13.90		
T	2018-11-22 14:43:18	40.742839000	-96.700830000	1243.6	16.5	3.64	46.1	1.640	24.20		
T	2018-11-22 14:43:19	40.742856000	-96.700802000	1243.5	6.8	8.86	51.3	1.642	9.93		
T	2018-11-22 14:43:20	40.742873000	-96.700775000	1243.3	6.6	9.06	50.3	1.643	9.71		
T	2018-11-22 14:43:21	40.742896000	-96.700731000	1243.0	10.1	5.95	55.4	1.646	14.79		
T	2018-11-22 14:43:22	40.742917000	-96.700687000	1242.7	9.8	6.11	57.8	1.649	14.39		
T	2018-11-22 14:43:23	40.742938000	-96.700643000	1242.3	9.8	6.11	57.8	1.652	14.39		
T	2018-11-22 14:43:24	40.742960000	-96.700602000	1242.0	9.5	6.33	54.7	1.654	13.90		
T	2018-11-22 14:43:25	40.742984000	-96.700564000	1241.6	9.3	6.43	50.2	1.657	13.69		
T	2018-11-22 14:43:26	40.743012000	-96.700530000	1241.4	9.5	6.34	42.6	1.660	13.89		
T	2018-11-22 14:43:27	40.743042000	-96.700501000	1241.1	9.2	6.49	36.2	1.662	13.57		
T	2018-11-22 14:43:28	40.743075000	-96.700478000	1240.9	9.3	6.47	27.8	1.665	13.61		
T	2018-11-22 14:43:29	40.743110000	-96.700459000	1240.8	9.4	6.38	22.4	1.667	13.80		
T	2018-11-22 14:43:30	40.743145000	-96.700446000	1240.6	9.0	6.64	15.7	1.670	13.25		
T	2018-11-22 14:43:31	40.743182000	-96.700437000	1240.5	9.3	6.42	10.4	1.672	13.71		
T	2018-11-22 14:43:32	40.743219000	-96.700432000	1240.5	9.2	6.49	5.8	1.675	13.55		
T	2018-11-22 14:43:33	40.743257000	-96.700429000	1240.5	9.5	6.34	3.4	1.678	13.87		
T	2018-11-22 14:43:34	40.743295000	-96.700428000	1240.5	9.4	6.35	1.1	1.680	13.85		
T	2018-11-22 14:43:35	40.743334000	-96.700427000	1240.5	9.7	6.19	1.1	1.683	14.21		
T	2018-11-22 14:43:36	40.743373000	-96.700426000	1240.5	9.7	6.19	1.1	1.686	14.21		
T	2018-11-22 14:43:37	40.743412000	-96.700423000	1240.5	9.7	6.18	3.3	1.688	14.23		
T	2018-11-22 14:43:38	40.743450000	-96.700419000	1240.5	9.5	6.34	4.6	1.691	13.89		
T	2018-11-22 14:43:39	40.743489000	-96.700410000	1240.4	9.8	6.10	9.9	1.694	14.43		
T	2018-11-22 14:43:40	40.743527000	-96.700398000	1240.3	9.7	6.18	13.5	1.696	14.24		
T	2018-11-22 14:43:41	40.743564000	-96.700382000	1240.3	9.7	6.20	18.1	1.699	14.19		
T	2018-11-22 14:43:42	40.743600000	-96.700362000	1240.2	9.7	6.18	22.8	1.702	14.24		
T	2018-11-22 14:43:43	40.743635000	-96.700338000	1240.1	9.8	6.12	27.5	1.704	14.38		
T	2018-11-22 14:43:44	40.743669000	-96.700311000	1240.1	9.9	6.08	31.0	1.707	14.47		
T	2018-11-22 14:43:45	40.743700000	-96.700281000	1240.0	9.6	6.28	36.2	1.710	14.02		
T	2018-11-22 14:43:46	40.743729000	-96.700248000	1240.0	9.5	6.30	40.8	1.713	13.97		
T	2018-11-22 14:43:47	40.743755000	-96.700213000	1240.1	9.2	6.49	45.6	1.715	13.56		
T	2018-11-22 14:43:48	40.743779000	-96.700176000	1240.3	9.2	6.53	49.4	1.718	13.48		
T	2018-11-22 14:43:49	40.743799000	-96.700137000	1240.4	8.9	6.75	55.9	1.720	13.03		
T	2018-11-22 14:43:50	40.743815000	-96.700096000	1240.6	8.7	6.89	62.7	1.723	12.77		
T	2018-11-22 14:43:51	40.743830000	-96.700054000	1240.7	8.8	6.84	64.8	1.725	12.86		
T	2018-11-22 14:43:52	40.743843000	-96.700012000	1240.8	8.6	7.00	67.8	1.727	12.57		
T	2018-11-22 14:43:53	40.743856000	-96.699970000	1240.9	8.6	7.00	67.8	1.730	12.57		
T	2018-11-22 14:43:54	40.743869000	-96.699930000	1241.0	8.2	7.30	66.8	1.732	12.05		
T	2018-11-22 14:43:55	40.743885000	-96.699893000	1241.1	8.0	7.46	60.3	1.734	11.79		
T	2018-11-22 14:43:56	40.743902000	-96.699860000	1241.2	7.5	7.97	55.8	1.736	11.04		
T	2018-11-22 14:43:57	40.743922000	-96.699834000	1241.4	7.0	8.59	44.6	1.738	10.25		
T	2018-11-22 14:43:58	40.743943000	-96.699818000	1241.6	6.0	9.95	30.0	1.740	8.84		
T	2018-11-22 14:43:59	40.743966000	-96.699815000	1241.8	5.7	10.45	5.6	1.742	8.42		
T	2018-11-22 14:44:00	40.743990000	-96.699826000	1241.9	6.3	9.50	340.9	1.743	9.26		
T	2018-11-22 14:44:01	40.744016000	-96.699847000	1242.1	7.6	7.92	328.5	1.745	11.12		
T	2018-11-22 14:44:02	40.744042000	-96.699876000	1242.4	8.5	7.08	319.8	1.748	12.42		
T	2018-11-22 14:44:03	40.744069000	-96.699907000	1242.9	8.9	6.74	319.0	1.750	13.06		
T	2018-11-22 14:44:04	40.744097000	-96.699938000	1243.3	9.1	6.60	320.0	1.753	13.34		
T	2018-11-22 14:44:05	40.744123000	-96.699964000	1243.7	8.1	7.39	322.9	1.755	11.90		
T	2018-11-22 14:44:06	40.744150000	-96.699986000	1244.0	7.9	7.60	328.3	1.757	11.57		
T	2018-11-22 14:44:07	40.744178000	-96.700006000	1244.4	7.9	7.58	331.6	1.759	11.61		
T	2018-11-22 14:44:08	40.744206000	-96.700024000	1244.8	7.7	7.75	334.0	1.762	11.36		
T	2018-11-22 14:44:09	40.744234000	-96.700042000	1245.1	7.7	7.75	334.0	1.764	11.36		
T	2018-11-22 14:44:10	40.744264000	-96.700059000	1245.4	8.1	7.39	336.8	1.766	11.90		
T	2018-11-22 14:44:11	40.744294000	-96.700077000	1245.8	8.2	7.32	335.6	1.768	12.01		
T	2018-11-22 14:44:12	40.744326000	-96.700094000	1246.0	8.6	7.00	338.1	1.771	12.57		
T	2018-11-22 14:44:13	40.744357000	-96.700112000	1246.2	8.4	7.13	336.3	1.773	12.35		
T	2018-11-22 14:44:14	40.744390000	-96.700129000	1246.4	8.8	6.81	338.7	1.775	12.91		
T	2018-11-22 14:44:15	40.744423000	-96.700146000	1246.6	8.8	6.81	338.7	1.778	12.91		
T	2018-11-22 14:44:16	40.744456000	-96.700163000	1246.8	8.8	6.81	338.7	1.780	12.91		
T	2018-11-22 14:44:17	40.744490000	-96.700181000	1247.1	9.1	6.59	338.1	1.783	13.35		
T	2018-11-22 14:44:18	40.744524000	-96.700198000	1247.3	9.0	6.64	339.3	1.785	13.25		
T	2018-11-22 14:44:19	40.744558000	-96.700215000	1247.5	9.0	6.64	339.3	1.788	13.25		
T	2018-11-22 14:44:20	40.744592000	-96.700233000	1247.6	9.1	6.59	338.1	1.790	13.35		
T	2018-11-22 14:44:21	40.744627000	-96.700251000	1247.4	9.3	6.43	338.7	1.793	13.69		
T	2018-11-22 14:44:22	40.744661000	-96.700269000	1247.2	9.1	6.59	338.1	1.795	13.35		
T	2018-11-22 14:44:23	40.744695000	-96.700287000	1247.1	9.1	6.59	338.1	1.798	13.35		
T	2018-11-22 14:44:24	40.744729000	-96.700305000	1246.9	9.1	6.59	338.1	1.801	13.35		
T	2018-11-22 14:44:25	40.744763000	-96.700324000	1246.7	9.2	6.54	337.1	1.803	13.46		
T	2018-11-22 14:44:26	40.744796000	-96.700343000	1246.5	8.9	6.70	336.4	1.806	13.13		
T	2018-11-22 14:44:27	40.744829000	-96.700362000	1246.3	8.9	6.70	336.4	1.808	13.13		
T	2018-11-22 14:44:28	40.744862000	-96.700382000	1246.1	9.0	6.65	335.3	1.811	13.24		
T	2018-11-22 14:44:29	40.744894000	-96.700402000	1245.8	8.8	6.82	334.7	1.813	12.91		
T	2018-11-22 14:44:30	40.744925000	-96.700422000	1245.6	8.6	6.99	334.0	1.815	12.58		
T	2018-11-22 14:44:31	40.744957000	-96.700442000	1245.4	8.8	6.82	334.7	1.818	12.91		
T	2018-11-22 14:44:32	40.744987000	-96.700461000	1245.2	8.3	7.25	334.4	1.820	12.13		
T	2018-11-22 14:44:33	40.745018000	-96.700480000	1245.0	8.5	7.06	335.1	1.823	12.46		
T	2018-11-22 14:44:34	40.745048000	-96.700499000	1244.7	8.3	7.25	334.4	1.825	12.13		
T	2018-11-22 14:44:35	40.745077000	-96.700517000	1244.5	8.0	7.53	334.8	1.827	11.68		
T	2018-11-22 14:44:36	40.745106000	-96.700538000	1244.2	8.2	7.30	331.2	1.829	12.06		
T	2018-11-22 14:44:37	40.745132000	-96.700561000	1243.9	7.8	7.71	326.2	1.831	11.42		
T	2018-11-22 14:44:38	40.745156000	-96.700589000	1243.6	8.0	7.53	318.5	1.834	11.69		
T	2018-11-22 14:44:39	40.745178000	-96.700621000	1243.2	8.1	7.36	312.2	1.836	11.95		
T	2018-11-22 14:44:40	40.745208000	-96.700685000	1242.5	14.2	4.22	301.7	1.840	20.83		
T	2018-11-22 14:44:41	40.745220000	-96.700711000	1242.3	5.7	10.44	301.4	1.841	8.43		
T	2018-11-22 14:44:42	40.745231000	-96.700738000	1242.1	5.8	10.37	298.3	1.843	8.49		
T	2018-11-22 14:44:43	40.745247000	-96.700778000	1241.9	8.5	7.03	297.8	1.845	12.52		
T	2018-11-22 14:44:44	40.745263000	-96.700817000	1241.6	8.4	7.17	298.4	1.848	12.28		
T	2018-11-22 14:44:45	40.745283000	-96.700855000	1241.3	8.7	6.87	304.8	1.850	12.80		
T	2018-11-22 14:44:46	40.745308000	-96.700891000	1241.0	9.2	6.51	312.5	1.853	13.51		
T	2018-11-22 14:44:47	40.745337000	-96.700919000	1240.6	8.9	6.71	323.8	1.855	13.11		
T	2018-11-22 14:44:48	40.745370000	-96.700933000	1240.2	8.6	6.97	342.2	1.858	12.63		
T	2018-11-22 14:44:49	40.745403000	-96.700933000	1239.9	8.2	7.32	0.0	1.860	12.02		
T	2018-11-22 14:44:50	40.745437000	-96.700922000	1239.7	8.7	6.90	13.8	1.862	12.76		
T	2018-11-22 14:44:51	40.745470000	-96.700902000	1239.7	9.0	6.65	24.7	1.865	13.24		
T	2018-11-22 14:44:52	40.745500000	-96.700874000	1239.9	9.1	6.57	35.3	1.867	13.40		
T	2018-11-22 14:44:53	40.745526000	-96.700839000	1240.1	9.2	6.49	45.6	1.870	13.56		
T	2018-11-22 14:44:54	40.745550000	-96.700803000	1240.4	9.0	6.63	48.7	1.872	13.27		
T	2018-11-22 14:44:55	40.745572000	-96.700766000	1240.7	8.9	6.76	51.9	1.875	13.01		
T	2018-11-22 14:44:56	40.745595000	-96.700732000	1241.0	8.6	6.98	48.2	1.877	12.61		
T	2018-11-22 14:44:57	40.745619000	-96.700705000	1241.3	7.8	7.65	40.4	1.879	11.51		
T	2018-11-22 14:44:58	40.745646000	-96.700686000	1241.5	7.6	7.89	28.1	1.882	11.16		
T	2018-11-22 14:44:59	40.745676000	-96.700675000	1241.7	7.7	7.76	15.5	1.884	11.35		
T	2018-11-22 14:45:00	40.745707000	-96.700669000	1241.8	7.8	7.71	8.3	1.886	11.42		
T	2018-11-22 14:45:01	40.745739000	-96.700666000	1241.9	8.0	7.53	4.1	1.888	11.69		
T	2018-11-22 14:45:02	40.745771000	-96.700665000	1242.0	8.0	7.55	1.4	1.890	11.66		
T	2018-11-22 14:45:03	40.745803000	-96.700663000	1242.1	8.0	7.54	2.7	1.893	11.67		
T	2018-11-22 14:45:04	40.745835000	-96.700659000	1242.2	8.0	7.51	5.4	1.895	11.71		
T	2018-11-22 14:45:05	40.745866000	-96.700654000	1242.4	7.8	7.73	7.0	1.897	11.38		
T	2018-11-22 14:45:06	40.745897000	-96.700646000	1242.5	7.8	7.65	11.1	1.899	11.51		
T	2018-11-22 14:45:07	40.745928000	-96.700635000	1242.8	8.0	7.52	15.0	1.901	11.70		
T	2018-11-22 14:45:08	40.745959000	-96.700621000	1243.0	8.1	7.37	18.9	1.904	11.94		
T	2018-11-22 14:45:09	40.745991000	-96.700605000	1243.4	8.5	7.06	20.7	1.906	12.47		
T	2018-11-22 14:45:10	40.746023000	-96.700591000	1243.7	8.4	7.16	18.3	1.908	12.29		
T	2018-11-22 14:45:11	40.746054000	-96.700581000	1243.9	7.9	7.57	13.7	1.910	11.63		
T	2018-11-22 14:45:12	40.746086000	-96.700577000	1244.1	8.0	7.51	5.4	1.913	11.71		
T	2018-11-22 14:45:13	40.746117000	-96.700582000	1244.1	7.8	7.73	353.0	1.915	11.38		
T	2018-11-22 14:45:14	40.746149000	-96.700595000	1244.1	8.3	7.21	342.9	1.917	12.20		
T	2018-11-22 14:45:15	40.746180000	-96.700612000	1244.0	8.3	7.19	337.4	1.919	12.24		
T	2018-11-22 14:45:16	40.746211000	-96.700631000	1244.0	8.5	7.06	335.1	1.922	12.46		
T	2018-11-22 14:45:17	40.746242000	-96.700650000	1243.9	8.5	7.06	335.1	1.924	12.46		
T	2018-11-22 14:45:18	40.746289000	-96.700674000	1243.8	12.5	4.79	338.9	1.928	18.37		
T	2018-11-22 14:45:19	40.746304000	-96.700682000	1243.8	4.0	14.92	338.0	1.929	5.90		
T	2018-11-22 14:45:20	40.746335000	-96.700693000	1243.9	8.0	7.52	345.0	1.931	11.70		
T	2018-11-22 14:45:21	40.746368000	-96.700702000	1244.0	8.4	7.17	348.3	1.933	12.28		
T	2018-11-22 14:45:22	40.746402000	-96.700708000	1244.1	8.5	7.04	352.4	1.936	12.50		
T	2018-11-22 14:45:23	40.746437000	-96.700710000	1244.2	8.7	6.89	357.5	1.938	12.76		
T	2018-11-22 14:45:24	40.746474000	-96.700710000	1244.4	9.2	6.53	0.0	1.941	13.48		
T	2018-11-22 14:45:25	40.746512000	-96.700708000	1244.6	9.4	6.35	2.3	1.943	13.86		
T	2018-11-22 14:45:26	40.746550000	-96.700706000	1244.6	9.4	6.35	2.3	1.946	13.86		
T	2018-11-22 14:45:27	40.746588000	-96.700704000	1244.4	9.4	6.35	2.3	1.949	13.86		
T	2018-11-22 14:45:28	40.746625000	-96.700702000	1244.2	9.2	6.52	2.3	1.951	13.49		
T	2018-11-22 14:45:29	40.746661000	-96.700701000	1244.1	8.9	6.71	1.2	1.954	13.12		
T	2018-11-22 14:45:30	40.746697000	-96.700700000	1243.9	8.9	6.71	1.2	1.956	13.12		
T	2018-11-22 14:45:31	40.746732000	-96.700699000	1243.8	8.7	6.90	1.2	1.958	12.75		
T	2018-11-22 14:45:32	40.746767000	-96.700699000	1243.6	8.7	6.90	0.0	1.961	12.75		
